UDI,Date,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Internal Pressure[MPa],Battery Charging Current[A],coolant temp[C],carbon monoxide content[grams/sec],Oil Viscosity[cSt],Age[days],Machine failure
2266,7/18/2000,M17125,M,299.2,308.4,1330,51.2,2.231543624,81,0.0091648,11.56581048,872.2,0
2267,7/19/2000,L49446,L,299.2,308.5,1381,60.6,2.317114094,81.1,0.0108474,13.689221,881.6,0
2268,7/20/2000,L49447,L,299.2,308.5,1370,52.4,2.298657718,81.1,0.0093796,11.83688417,873.4,0
2269,7/21/2000,L49448,L,299.2,308.5,1438,46.6,2.412751678,81.1,0.0083414,10.5266947,867.6,0
2270,7/22/2000,L49449,L,299.3,308.6,1314,48.2,2.204697987,81.2,0.0086278,10.88812628,869.2,0
2271,7/23/2000,L49450,L,299.3,308.6,1437,48.1,2.411073826,81.2,0.0086099,10.8655368,869.1,0
2272,7/24/2000,L49451,L,299.2,308.5,1821,26.1,3.055369128,81.1,0.0046719,5.89585261,847.1,0
2273,7/25/2000,M17132,M,299.3,308.6,1448,52.1,2.429530201,81.2,0.0093259,11.76911575,873.1,0
2274,7/26/2000,L49453,L,299.3,308.5,1589,32.7,2.666107383,81.1,0.0058533,7.386757867,853.7,0
2275,7/27/2000,L49454,L,299.3,308.6,1520,33.7,2.55033557,81.2,0.0060323,7.612652603,854.7,0
2276,7/28/2000,L49455,L,299.3,308.6,1605,37,2.69295302,81.2,0.006623,8.358105232,858,0
2277,7/29/2000,L49456,L,299.3,308.7,1393,54.2,2.337248322,81.3,0.0097018,12.24349469,875.2,0
2278,7/30/2000,H31691,H,299.3,308.7,1408,44.4,2.362416107,81.3,0.0079476,10.02972628,865.4,0
2279,7/31/2000,M17138,M,299.3,308.7,1459,35.6,2.447986577,81.3,0.0063724,8.041852602,856.6,0
2280,8/1/2000,L49459,L,299.4,308.7,1525,39,2.558724832,81.3,0.006981,8.809894704,860,0
2281,8/2/2000,L49460,L,299.4,308.8,1390,57,2.332214765,81.4,0.010203,12.87599995,878,0
2282,8/3/2000,L49461,L,299.3,308.7,1536,38.9,2.577181208,81.3,0.0069631,8.78730523,859.9,0
2283,8/4/2000,L49462,L,299.4,308.7,1459,47.6,2.447986577,81.3,0.0085204,10.75258943,868.6,0
2284,8/5/2000,L49463,L,299.2,308.5,1387,51.1,2.327181208,81.1,0.0091469,11.54322101,872.1,0
2285,8/6/2000,L49464,L,299.2,308.5,1378,53.4,2.312080537,81.1,0.0095586,12.0627789,874.4,0
2286,8/7/2000,L49465,L,299.4,308.7,1381,56.7,2.317114094,81.3,0.0101493,12.80823153,877.7,0
2287,8/8/2000,M17146,M,299.4,308.7,1289,60.5,2.162751678,81.3,0.0108295,13.66663153,881.5,0
2288,8/9/2000,L49467,L,299.4,308.6,1746,26.8,2.929530201,81.2,0.0047972,6.053978925,847.8,0
2289,8/10/2000,M17148,M,299.4,308.6,1541,39.1,2.58557047,81.2,0.0069989,8.832484178,860.1,0
2290,8/11/2000,L49469,L,299.4,308.7,1504,37.8,2.523489933,81.3,0.0067662,8.538821021,858.8,0
2291,8/12/2000,M17150,M,299.5,308.7,1321,51.9,2.216442953,81.3,0.0092901,11.7239368,872.9,0
2292,8/13/2000,M17151,M,299.5,308.8,1886,20.9,3.16442953,81.4,0.0037411,4.721199982,841.9,0
2293,8/14/2000,L49472,L,299.6,308.9,1422,53.2,2.38590604,81.5,0.0095228,12.01759996,874.2,0
2294,8/15/2000,L49473,L,299.5,308.9,1520,38.3,2.55033557,81.5,0.0068557,8.651768389,859.3,0
2295,8/16/2000,L49474,L,299.4,308.8,1627,32.6,2.729865772,81.4,0.0058354,7.364168394,853.6,0
2296,8/17/2000,L49475,L,299.4,308.7,1512,37.2,2.536912752,81.3,0.0066588,8.403284179,858.2,0
2297,8/18/2000,L49476,L,299.4,308.7,1553,42.7,2.605704698,81.3,0.0076433,9.645705227,863.7,0
2298,8/19/2000,L49477,L,299.3,308.7,1802,26,3.023489933,81.3,0.004654,5.873263136,847,0
2299,8/20/2000,L49478,L,299.3,308.6,1482,37.6,2.486577181,81.2,0.0067304,8.493642074,858.6,0
2300,8/21/2000,L49479,L,299.4,308.7,1446,62.9,2.426174497,81.3,0.0112591,14.20877889,883.9,1
2301,8/22/2000,L49480,L,299.3,308.6,1371,50.5,2.30033557,81.2,0.0090395,11.40768417,871.5,0
2302,8/23/2000,M17161,M,299.2,308.6,1586,35.7,2.661073826,81.2,0.0063903,8.064442075,856.7,0
2303,8/24/2000,L49482,L,299.2,308.5,1515,39.8,2.541946309,81.1,0.0071242,8.990610493,860.8,0
2304,8/25/2000,L49483,L,299.2,308.5,1374,53.6,2.305369128,81.1,0.0095944,12.10795785,874.6,0
2305,8/26/2000,L49484,L,299.1,308.5,1455,39.8,2.441275168,81.1,0.0071242,8.990610493,860.8,0
2306,8/27/2000,H31719,H,299.2,308.5,1342,47.5,2.251677852,81.1,0.0085025,10.72999996,868.5,0
2307,8/28/2000,L49486,L,299.1,308.6,1260,57.8,2.11409396,81.2,0.0103462,13.05671574,878.8,0
2308,8/29/2000,H31721,H,299,308.5,1623,33.5,2.723154362,81.1,0.0059965,7.567473656,854.5,0
2309,8/30/2000,L49488,L,299.1,308.5,1371,55.5,2.30033557,81.1,0.0099345,12.53715785,876.5,0
2310,8/31/2000,L49489,L,299.1,308.6,1611,31.4,2.703020134,81.2,0.0056206,7.09309471,852.4,0
2311,9/1/2000,M17170,M,299,308.4,1535,47.5,2.575503356,81,0.0085025,10.72999996,868.5,0
2312,9/2/2000,M17171,M,299.1,308.6,1491,38.5,2.501677852,81.2,0.0068915,8.696947336,859.5,0
2313,9/3/2000,M17172,M,299.1,308.6,1441,36.2,2.417785235,81.2,0.0064798,8.177389443,857.2,0
2314,9/4/2000,M17173,M,299.1,308.8,1725,26.6,2.894295302,81.4,0.0047614,6.008799978,847.6,0
2315,9/5/2000,L49494,L,299.2,308.9,1368,47.2,2.295302013,81.5,0.0084488,10.66223154,868.2,0
2316,9/6/2000,L49495,L,299.2,308.9,1526,37.9,2.560402685,81.5,0.0067841,8.561410494,858.9,0
2317,9/7/2000,L49496,L,299.2,308.8,1542,39.2,2.587248322,81.4,0.0070168,8.855073651,860.2,0
2318,9/8/2000,L49497,L,299.2,308.8,1605,31.1,2.69295302,81.4,0.0055669,7.02532629,852.1,0
2319,9/9/2000,L49498,L,299.2,308.8,1405,51.4,2.35738255,81.4,0.0092006,11.61098943,872.4,0
2320,9/10/2000,M17179,M,299.2,308.8,1700,33.5,2.852348993,81.4,0.0059965,7.567473656,854.5,0
2321,9/11/2000,H31734,H,299.2,308.8,1440,39.1,2.416107383,81.4,0.0069989,8.832484178,860.1,0
2322,9/12/2000,M17181,M,299.2,308.8,1314,52.5,2.204697987,81.4,0.0093975,11.85947364,873.5,0
2323,9/13/2000,L49502,L,299.2,308.7,1514,41.9,2.540268456,81.3,0.0075001,9.464989438,862.9,0
2324,9/14/2000,M17183,M,299.2,308.7,1401,47,2.350671141,81.3,0.008413,10.61705259,868,0
2325,9/15/2000,L49504,L,299.3,308.8,1636,29.9,2.744966443,81.4,0.0053521,6.754252606,850.9,0
2326,9/16/2000,L49505,L,299.3,308.8,1603,33.9,2.689597315,81.4,0.0060681,7.65783155,854.9,0
2327,9/17/2000,M17186,M,299.4,308.7,1487,52.6,2.494966443,81.3,0.0094154,11.88206311,873.6,0
2328,9/18/2000,M17187,M,299.3,308.7,1420,50.3,2.382550336,81.3,0.0090037,11.36250522,871.3,0
2329,9/19/2000,L49508,L,299.3,308.7,1579,36.3,2.649328859,81.3,0.0064977,8.199978917,857.3,0
2330,9/20/2000,L49509,L,299.3,308.7,1484,40.5,2.489932886,81.3,0.0072495,9.148736808,861.5,0
2331,9/21/2000,M17190,M,299.3,308.7,1390,49.3,2.332214765,81.3,0.0088247,11.13661048,870.3,0
2332,9/22/2000,L49511,L,299.3,308.6,1384,53.6,2.322147651,81.2,0.0095944,12.10795785,874.6,1
2333,9/23/2000,L49512,L,299.2,308.5,1378,50.4,2.312080537,81.1,0.0090216,11.38509469,871.4,1
2334,9/24/2000,L49513,L,299.2,308.5,1445,45.2,2.424496644,81.1,0.0080908,10.21044207,866.2,0
2335,9/25/2000,L49514,L,299.2,308.4,1445,43.5,2.424496644,81,0.0077865,9.826421016,864.5,0
2336,9/26/2000,L49515,L,299.2,308.4,1509,39.4,2.531879195,81,0.0070526,8.900252598,860.4,0
2337,9/27/2000,L49516,L,299.2,308.4,1434,46.8,2.406040268,81,0.0083772,10.57187364,867.8,0
2338,9/28/2000,L49517,L,299.2,308.4,1877,23.9,3.149328859,81,0.0042781,5.39888419,844.9,0
2339,9/29/2000,L49518,L,299.3,308.3,1651,28,2.770134228,80.9,0.005012,6.325052608,849,0
2340,9/30/2000,L49519,L,299.2,308.2,1466,41.3,2.459731544,80.8,0.0073927,9.329452597,862.3,0
2341,10/1/2000,L49520,L,299.1,308.1,1479,40.7,2.481543624,80.7,0.0072853,9.193915755,861.7,0
2342,10/2/2000,L49521,L,299.1,308.2,1409,46.4,2.36409396,80.8,0.0083056,10.48151575,867.4,0
2343,10/3/2000,M17202,M,299.2,308.2,1674,28.2,2.808724832,80.8,0.0050478,6.370231555,849.2,0
2344,10/4/2000,L49523,L,299.1,308.3,1305,61.4,2.189597315,80.9,0.0109906,13.86993679,882.4,0
2345,10/5/2000,M17204,M,299.2,308.3,1755,26.4,2.944630872,80.9,0.0047256,5.96362103,847.4,0
2346,10/6/2000,L49525,L,299.2,308.4,1475,38.7,2.474832215,81,0.0069273,8.742126283,859.7,0
2347,10/7/2000,L49526,L,299.2,308.4,1402,47.7,2.352348993,81,0.0085383,10.77517891,868.7,0
2348,10/8/2000,L49527,L,299.2,308.3,1410,43,2.365771812,80.9,0.007697,9.713473648,864,0
2349,10/9/2000,L49528,L,299.2,308.4,1436,41.8,2.409395973,81,0.0074822,9.442399965,862.8,0
2350,10/10/2000,M17209,M,299.3,308.5,1386,42.2,2.325503356,81.1,0.0075538,9.532757859,863.2,0
2351,10/11/2000,L49530,L,299.3,308.6,1744,26.4,2.926174497,81.2,0.0047256,5.96362103,847.4,0
2352,10/12/2000,L49531,L,299.2,308.4,1393,48.4,2.337248322,81,0.0086636,10.93330522,869.4,0
2353,10/13/2000,M17212,M,299.3,308.5,1422,45.4,2.38590604,81.1,0.0081266,10.25562101,866.4,0
2354,10/14/2000,L49533,L,299.2,308.4,1841,22.8,3.088926174,81,0.0040812,5.150399981,843.8,0
2355,10/15/2000,L49534,L,299.3,308.6,1433,37.7,2.404362416,81.2,0.0067483,8.516231547,858.7,0
2356,10/16/2000,M17215,M,299.3,308.5,1305,60.6,2.189597315,81.1,0.0108474,13.689221,881.6,0
2357,10/17/2000,H31770,H,299.3,308.6,1498,39.5,2.513422819,81.2,0.0070705,8.922842072,860.5,0
2358,10/18/2000,L49537,L,299.3,308.5,1772,26.1,2.973154362,81.1,0.0046719,5.89585261,847.1,0
2359,10/19/2000,M17218,M,299.2,308.4,1381,42.5,2.317114094,81,0.0076075,9.60052628,863.5,0
2360,10/20/2000,L49539,L,299.3,308.5,1413,38.5,2.370805369,81.1,0.0068915,8.696947336,859.5,0
2361,10/21/2000,H31774,H,299.2,308.4,1388,53.2,2.32885906,81,0.0095228,12.01759996,874.2,0
2362,10/22/2000,M17221,M,299.2,308.6,1631,35.4,2.736577181,81.2,0.0063366,7.996673654,856.4,0
2363,10/23/2000,H31776,H,299.3,308.6,1520,41.4,2.55033557,81.2,0.0074106,9.35204207,862.4,0
2364,10/24/2000,L49543,L,299.3,308.5,1510,45.4,2.533557047,81.1,0.0081266,10.25562101,866.4,0
2365,10/25/2000,L49544,L,299.2,308.5,1366,49.7,2.291946309,81.1,0.0088963,11.22696838,870.7,0
2366,10/26/2000,L49545,L,299.4,308.5,1845,22.9,3.095637584,81.1,0.0040991,5.172989454,843.9,0
2367,10/27/2000,L49546,L,299.3,308.5,1485,44.7,2.491610738,81.1,0.0080013,10.0974947,865.7,0
2368,10/28/2000,M17227,M,299.3,308.5,1496,39.4,2.510067114,81.1,0.0070526,8.900252598,860.4,0
2369,10/29/2000,M17228,M,299.3,308.4,1468,42.2,2.463087248,81,0.0075538,9.532757859,863.2,0
2370,10/30/2000,M17229,M,299.2,308.4,1856,22.7,3.11409396,81,0.0040633,5.127810507,843.7,0
2371,10/31/2000,L49550,L,299.2,308.4,1620,34.1,2.718120805,81,0.0061039,7.703010498,855.1,0
2372,11/1/2000,L49551,L,299.3,308.5,1409,44.8,2.36409396,81.1,0.0080192,10.12008417,865.8,0
2373,11/2/2000,M17232,M,299.3,308.5,1404,49.4,2.355704698,81.1,0.0088426,11.15919996,870.4,0
2374,11/3/2000,L49553,L,299.2,308.4,1350,51.3,2.265100671,81,0.0091827,11.58839996,872.3,0
2375,11/4/2000,M17234,M,299.2,308.4,1538,38,2.580536913,81,0.006802,8.583999968,859,0
2376,11/5/2000,M17235,M,299.2,308.4,1476,32.7,2.476510067,81,0.0058533,7.386757867,853.7,0
2377,11/6/2000,M17236,M,299.2,308.3,1364,51.8,2.288590604,80.9,0.0092722,11.70134732,872.8,0
2378,11/7/2000,M17237,M,299.2,308.3,1582,45.5,2.654362416,80.9,0.0081445,10.27821049,866.5,0
2379,11/8/2000,L49558,L,299.1,308.2,1348,56.1,2.261744966,80.8,0.0100419,12.67269469,877.1,0
2380,11/9/2000,H31793,H,299.1,308.2,1450,46.1,2.432885906,80.8,0.0082519,10.41374733,867.1,0
2381,11/10/2000,L49560,L,299,308.1,1242,60.9,2.083892617,80.7,0.0109011,13.75698942,881.9,0
2382,11/11/2000,L49561,L,299.1,308.2,1493,34.9,2.505033557,80.8,0.0062471,7.883726286,855.9,0
2383,11/12/2000,L49562,L,299.1,308.3,1601,31.4,2.686241611,80.9,0.0056206,7.09309471,852.4,0
2384,11/13/2000,L49563,L,299.1,308.2,1568,33.3,2.630872483,80.8,0.0059607,7.522294709,854.3,0
2385,11/14/2000,M17244,M,299.1,308.3,1506,38,2.526845638,80.9,0.006802,8.583999968,859,0
2386,11/15/2000,L49565,L,299.1,308.3,1524,34.1,2.55704698,80.9,0.0061039,7.703010498,855.1,0
2387,11/16/2000,L49566,L,299.1,308.4,1543,37.9,2.588926174,81,0.0067841,8.561410494,858.9,0
2388,11/17/2000,M17247,M,299.2,308.5,1474,47.2,2.473154362,81.1,0.0084488,10.66223154,868.2,0
2389,11/18/2000,M17248,M,299.2,308.5,1526,37.3,2.560402685,81.1,0.0066767,8.425873653,858.3,0
2390,11/19/2000,L49569,L,299.2,308.5,1867,27,3.132550336,81.1,0.004833,6.099157872,848,0
2391,11/20/2000,L49570,L,299.2,308.5,1487,41.2,2.494966443,81.1,0.0073748,9.306863123,862.2,0
2392,11/21/2000,L49571,L,299.2,308.4,1580,32.6,2.651006711,81,0.0058354,7.364168394,853.6,0
2393,11/22/2000,L49572,L,299.2,308.5,1340,50,2.248322148,81.1,0.00895,11.2947368,871,0
2394,11/23/2000,L49573,L,299.2,308.5,1544,41.6,2.590604027,81.1,0.0074464,9.397221018,862.6,0
2395,11/24/2000,L49574,L,299.2,308.5,1488,40.3,2.496644295,81.1,0.0072137,9.103557861,861.3,0
2396,11/25/2000,M17255,M,299.2,308.5,1742,28.9,2.922818792,81.1,0.0051731,6.52835787,849.9,0
2397,11/26/2000,M17256,M,299.1,308.5,1592,34.2,2.67114094,81.1,0.0061218,7.725599971,855.2,0
2398,11/27/2000,L49577,L,299.2,308.6,1582,38.8,2.654362416,81.2,0.0069452,8.764715757,859.8,0
2399,11/28/2000,L49578,L,299.2,308.5,1490,43.2,2.5,81.1,0.0077328,9.758652595,864.2,0
2400,11/29/2000,M17259,M,299.2,308.5,1594,35.8,2.674496644,81.1,0.0064082,8.087031549,856.8,0
2401,11/30/2000,H31814,H,299.2,308.6,1462,55,2.453020134,81.2,0.009845,12.42421048,876,0
2402,12/1/2000,M17261,M,299.2,308.6,1367,47.6,2.293624161,81.2,0.0085204,10.75258943,868.6,0
2403,12/2/2000,L49582,L,299.2,308.7,1325,51,2.223154362,81.3,0.009129,11.52063154,872,0
2404,12/3/2000,H31817,H,299.2,308.7,1448,51.4,2.429530201,81.3,0.0092006,11.61098943,872.4,0
2405,12/4/2000,M17264,M,299.1,308.7,2008,20.3,3.369127517,81.3,0.0036337,4.585663141,841.3,0
2406,12/5/2000,L49585,L,299.1,308.7,1498,38.9,2.513422819,81.3,0.0069631,8.78730523,859.9,0
2407,12/6/2000,L49586,L,299.1,308.6,1437,41.6,2.411073826,81.2,0.0074464,9.397221018,862.6,0
2408,12/7/2000,M17267,M,299.1,308.6,1499,45.1,2.515100671,81.2,0.0080729,10.18785259,866.1,0
2409,12/8/2000,L49588,L,299,308.4,1356,52.6,2.275167785,81,0.0094154,11.88206311,873.6,0
2410,12/9/2000,L49589,L,299.1,308.5,1539,46.8,2.582214765,81.1,0.0083772,10.57187364,867.8,0
2411,12/10/2000,L49590,L,299.1,308.5,1689,32.1,2.833892617,81.1,0.0057459,7.251221026,853.1,0
2412,12/11/2000,L49591,L,299,308.5,1559,38.1,2.615771812,81.1,0.0068199,8.606589442,859.1,0
2413,12/12/2000,L49592,L,299.1,308.6,1408,46.7,2.362416107,81.2,0.0083593,10.54928417,867.7,0
2414,12/13/2000,L49593,L,299,308.5,1886,23,3.16442953,81.1,0.004117,5.195578928,844,0
2415,12/14/2000,L49594,L,299.1,308.5,1415,43.4,2.374161074,81.1,0.0077686,9.803831542,864.4,0
2416,12/15/2000,M17275,M,299.1,308.5,1587,35.6,2.662751678,81.1,0.0063724,8.041852602,856.6,0
2417,12/16/2000,L49596,L,299,308.4,1571,38.6,2.63590604,81,0.0069094,8.71953681,859.6,0
2418,12/17/2000,L49597,L,298.9,308.3,1576,36.6,2.644295302,80.9,0.0065514,8.267747338,857.6,0
2419,12/18/2000,L49598,L,298.9,308.3,1660,34.4,2.785234899,80.9,0.0061576,7.770778918,855.4,0
2420,12/19/2000,M17279,M,298.9,308.2,1328,49.2,2.228187919,80.8,0.0088068,11.11402101,870.2,0
2421,12/20/2000,H31834,H,298.8,308.2,1450,44.7,2.432885906,80.8,0.0080013,10.0974947,865.7,0
2422,12/21/2000,L49601,L,298.9,308.2,2384,15,4,80.8,0.002685,3.38842104,836,0
2423,12/22/2000,L49602,L,298.8,308.2,1443,53.4,2.42114094,80.8,0.0095586,12.0627789,874.4,0
2424,12/23/2000,M17283,M,298.9,308.2,2022,20,3.39261745,80.8,0.00358,4.51789472,841,0
2425,12/24/2000,L49604,L,298.9,308.2,1828,23.8,3.067114094,80.8,0.0042602,5.376294717,844.8,0
2426,12/25/2000,L49605,L,298.8,308.1,1472,53.5,2.469798658,80.7,0.0095765,12.08536838,874.5,0
2427,12/26/2000,M17286,M,298.9,308.2,1372,63.6,2.302013423,80.8,0.0113844,14.36690521,884.6,1
2428,12/27/2000,L49607,L,298.9,308.3,1855,23.8,3.112416107,80.9,0.0042602,5.376294717,844.8,0
2429,12/28/2000,M17288,M,299,308.3,1377,47.2,2.310402685,80.9,0.0084488,10.66223154,868.2,0
2430,12/29/2000,L49609,L,298.9,308.3,1432,48.9,2.402684564,80.9,0.0087531,11.04625259,869.9,0
2431,12/30/2000,M17290,M,298.9,308.2,1335,47.8,2.239932886,80.8,0.0085562,10.79776838,868.8,0
2432,12/31/2000,M17291,M,298.9,308.2,1411,51.3,2.367449664,80.8,0.0091827,11.58839996,872.3,0
2433,1/1/2001,L49612,L,298.9,308.2,1510,43.5,2.533557047,80.8,0.0077865,9.826421016,864.5,0
2434,1/2/2001,L49613,L,299,308.3,1441,44,2.417785235,80.9,0.007876,9.939368384,865,0
2435,1/3/2001,M17294,M,299,308.2,1358,42.7,2.27852349,80.8,0.0076433,9.645705227,863.7,0
2436,1/4/2001,L49615,L,298.9,308.2,1686,30.4,2.82885906,80.8,0.0054416,6.867199974,851.4,0
2437,1/5/2001,H31850,H,299,308.2,1662,30.4,2.788590604,80.8,0.0054416,6.867199974,851.4,0
2438,1/6/2001,L49617,L,299.1,308.3,1426,40.1,2.39261745,80.9,0.0071779,9.058378914,861.1,0
2439,1/7/2001,M17298,M,299.1,308.4,1330,53.6,2.231543624,81,0.0095944,12.10795785,874.6,0
2440,1/8/2001,L49619,L,299.1,308.4,1693,31.6,2.840604027,81,0.0056564,7.138273658,852.6,0
2441,1/9/2001,L49620,L,299.1,308.4,1426,47.9,2.39261745,81,0.0085741,10.82035785,868.9,0
2442,1/10/2001,L49621,L,299.1,308.5,1676,31,2.812080537,81.1,0.005549,7.002736816,852,0
2443,1/11/2001,M17302,M,299.1,308.4,1332,51.7,2.234899329,81,0.0092543,11.67875785,872.7,0
2444,1/12/2001,L49623,L,299.1,308.5,1647,35,2.763422819,81.1,0.006265,7.90631576,856,0
2445,1/13/2001,L49624,L,299.2,308.6,1267,68.2,2.125838926,81.2,0.0122078,15.406021,889.2,1
2446,1/14/2001,H31859,H,299.2,308.7,1375,55.1,2.30704698,81.3,0.0098629,12.44679995,876.1,0
2447,1/15/2001,L49626,L,299.3,308.6,1422,48.9,2.38590604,81.2,0.0087531,11.04625259,869.9,0
2448,1/16/2001,L49627,L,299.3,308.7,1408,48.7,2.362416107,81.3,0.0087173,11.00107364,869.7,0
2449,1/17/2001,L49628,L,299.4,308.9,1440,42.5,2.416107383,81.5,0.0076075,9.60052628,863.5,0
2450,1/18/2001,L49629,L,299.3,308.8,1772,25.2,2.973154362,81.4,0.0045108,5.692547347,846.2,0
2451,1/19/2001,L49630,L,299.2,308.7,1492,37.8,2.503355705,81.3,0.0067662,8.538821021,858.8,0
2452,1/20/2001,L49631,L,299.2,308.7,1650,30.5,2.768456376,81.3,0.0054595,6.889789448,851.5,0
2453,1/21/2001,M17312,M,299.1,308.6,2329,14.6,3.907718121,81.2,0.0026134,3.298063146,835.6,0
2454,1/22/2001,L49633,L,299,308.6,1648,30.8,2.765100671,81.2,0.0055132,6.957557869,851.8,0
2455,1/23/2001,L49634,L,299,308.6,1653,31.7,2.773489933,81.2,0.0056743,7.160863131,852.7,0
2456,1/24/2001,L49635,L,299,308.6,1946,22.3,3.265100671,81.2,0.0039917,5.037452613,843.3,0
2457,1/25/2001,L49636,L,299.1,308.6,1555,36.6,2.609060403,81.2,0.0065514,8.267747338,857.6,0
2458,1/26/2001,L49637,L,299,308.6,1661,32.2,2.786912752,81.2,0.0057638,7.273810499,853.2,0
2459,1/27/2001,L49638,L,299,308.6,1434,45.9,2.406040268,81.2,0.0082161,10.36856838,866.9,0
2460,1/28/2001,L49639,L,299,308.6,1297,54.2,2.176174497,81.2,0.0097018,12.24349469,875.2,0
2461,1/29/2001,L49640,L,299,308.6,1466,46.4,2.459731544,81.2,0.0083056,10.48151575,867.4,0
2462,1/30/2001,M17321,M,298.9,308.6,1517,39.8,2.545302013,81.2,0.0071242,8.990610493,860.8,0
2463,1/31/2001,L49642,L,298.9,308.5,1742,34.5,2.922818792,81.1,0.0061755,7.793368392,855.5,0
2464,2/1/2001,L49643,L,298.9,308.5,1580,39.1,2.651006711,81.1,0.0069989,8.832484178,860.1,0
2465,2/2/2001,M17324,M,298.9,308.5,1534,42.9,2.573825503,81.1,0.0076791,9.690884174,863.9,0
2466,2/3/2001,L49645,L,298.9,308.6,1481,40.7,2.484899329,81.2,0.0072853,9.193915755,861.7,0
2467,2/4/2001,L49646,L,299,308.6,1429,37.7,2.397651007,81.2,0.0067483,8.516231547,858.7,0
2468,2/5/2001,M17327,M,298.9,308.6,1574,33.5,2.640939597,81.2,0.0059965,7.567473656,854.5,0
2469,2/6/2001,M17328,M,298.9,308.6,1524,40.4,2.55704698,81.2,0.0072316,9.126147334,861.4,0
2470,2/7/2001,L49649,L,299,308.7,1507,37.5,2.52852349,81.3,0.0067125,8.4710526,858.5,0
2471,2/8/2001,L49650,L,298.9,308.5,1467,44.7,2.461409396,81.1,0.0080013,10.0974947,865.7,0
2472,2/9/2001,L49651,L,298.9,308.4,1301,51.1,2.182885906,81,0.0091469,11.54322101,872.1,0
2473,2/10/2001,L49652,L,298.9,308.5,1429,55.1,2.397651007,81.1,0.0098629,12.44679995,876.1,0
2474,2/11/2001,M17333,M,298.9,308.5,1555,37.6,2.609060403,81.1,0.0067304,8.493642074,858.6,0
2475,2/12/2001,L49654,L,298.9,308.5,1503,40.6,2.521812081,81.1,0.0072674,9.171326282,861.6,0
2476,2/13/2001,L49655,L,298.9,308.5,1459,43.1,2.447986577,81.1,0.0077149,9.736063122,864.1,0
2477,2/14/2001,H31890,H,298.9,308.4,1449,42.4,2.431208054,81,0.0075896,9.577936806,863.4,0
2478,2/15/2001,L49657,L,298.9,308.5,1387,57.3,2.327181208,81.1,0.0102567,12.94376837,878.3,0
2479,2/16/2001,M17338,M,298.9,308.5,1456,50,2.44295302,81.1,0.00895,11.2947368,871,0
2480,2/17/2001,L49659,L,299,308.5,1604,34.7,2.691275168,81.1,0.0062113,7.838547339,855.7,0
2481,2/18/2001,L49660,L,299,308.6,1734,32.4,2.909395973,81.2,0.0057996,7.318989446,853.4,0
2482,2/19/2001,L49661,L,299,308.6,1378,47.8,2.312080537,81.2,0.0085562,10.79776838,868.8,0
2483,2/20/2001,L49662,L,298.9,308.7,1504,41.8,2.523489933,81.3,0.0074822,9.442399965,862.8,0
2484,2/21/2001,M17343,M,298.9,308.7,1402,49.8,2.352348993,81.3,0.0089142,11.24955785,870.8,0
2485,2/22/2001,H31898,H,298.8,308.6,1524,37.7,2.55704698,81.2,0.0067483,8.516231547,858.7,0
2486,2/23/2001,L49665,L,298.8,308.6,1593,35.5,2.672818792,81.2,0.0063545,8.019263128,856.5,0
2487,2/24/2001,M17346,M,298.9,308.7,1772,28.4,2.973154362,81.3,0.0050836,6.415410502,849.4,0
2488,2/25/2001,H31901,H,298.9,308.6,1623,31,2.723154362,81.2,0.005549,7.002736816,852,0
2489,2/26/2001,L49668,L,298.9,308.7,1356,50.7,2.275167785,81.3,0.0090753,11.45286312,871.7,0
2490,2/27/2001,H31903,H,298.9,308.7,1500,41.6,2.516778523,81.3,0.0074464,9.397221018,862.6,0
2491,2/28/2001,H31904,H,299.1,308.8,1566,46.6,2.627516779,81.4,0.0083414,10.5266947,867.6,0
2492,3/1/2001,L49671,L,299.1,308.9,1445,43.4,2.424496644,81.5,0.0077686,9.803831542,864.4,0
2493,3/2/2001,H31906,H,299,308.8,1382,58.5,2.318791946,81.4,0.0104715,13.21484206,879.5,0
2494,3/3/2001,M17353,M,299,308.8,1418,45.7,2.379194631,81.4,0.0081803,10.32338944,866.7,0
2495,3/4/2001,L49674,L,299.1,308.8,1329,53.6,2.229865772,81.4,0.0095944,12.10795785,874.6,1
2496,3/5/2001,M17355,M,299.1,308.8,1491,41,2.501677852,81.4,0.007339,9.261684176,862,0
2497,3/6/2001,M17356,M,299.2,308.9,1573,37.4,2.639261745,81.5,0.0066946,8.448463126,858.4,0
2498,3/7/2001,M17357,M,299.2,308.9,1521,42.3,2.552013423,81.5,0.0075717,9.555347333,863.3,0
2499,3/8/2001,L49678,L,299.1,308.9,1467,47.2,2.461409396,81.5,0.0084488,10.66223154,868.2,0
2500,3/9/2001,M17359,M,299.1,308.9,1325,48.4,2.223154362,81.5,0.0086636,10.93330522,869.4,0
2501,3/10/2001,L49680,L,299.1,308.9,1617,32.3,2.713087248,81.5,0.0057817,7.296399973,853.3,0
2502,3/11/2001,M17361,M,299.1,308.9,1476,42.7,2.476510067,81.5,0.0076433,9.645705227,863.7,0
2503,3/12/2001,L49682,L,299.2,309,1515,48.9,2.541946309,81.6,0.0087531,11.04625259,869.9,1
2504,3/13/2001,L49683,L,299.2,309,1408,47.2,2.362416107,81.6,0.0084488,10.66223154,868.2,0
